business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,Philadelphia,PA,19107,39.9555052,-75.1555641,4.0,80,1,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries"
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,19106,39.953949,-75.1432262,4.0,245,1,"Sushi Bars, Restaurants, Japanese"
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,Philadelphia,PA,19147,39.943223,-75.162568,4.5,205,1,"Korean, Restaurants"
QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,Philadelphia,PA,19147,39.9398245705,-75.1574465632,4.0,65,0,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants"
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,4105 Main St,Philadelphia,PA,19127,40.0224662,-75.218314,3.0,41,0,"Pizza, Restaurants, Salad, Soup"
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,901 N Delaware Ave,Philadelphia,PA,19123,39.9625821,-75.1356571,3.5,65,1,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants"
-4dYswJy7SPcbcERvitmIg,Pathmark,3021 Grays Ferry Ave,Philadelphia,PA,19146,39.9404026,-75.1932966,2.5,34,0,"Food, Grocery"
ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,Philadelphia,PA,19104,39.954573,-75.1948936,3.0,56,1,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores"
eMjnw_7wp-CscyNh6Lu0ZA,AM&PM Locksmith,8540 Bustleton Ave,Philadelphia,PA,19152,40.0723302045,-75.0484833435,4.5,58,1,"Keys & Locksmiths, Home Services, Local Services"
xfmkEGiIERBaBMLhw-dTCg,Walmart Vision & Glasses,1675 S Christopher Columbus Blvd,Philadelphia,PA,19148,39.9198090864,-75.157802746,4.5,6,1,"Eyewear & Opticians, Shopping"
iPSPcprSnkLOuL1Ns8UZZA,Pete's Barber Shop,1209 N 29th St,Philadelphia,PA,19121,39.9748805,-75.1832618,4.5,12,1,"Barbers, Beauty & Spas"
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,Philadelphia,PA,19130,39.963077709,-75.1680274529,3.0,137,1,"Restaurants, Chinese"
GWGXTKR0Fhdvzf_isDqJug,"David Gower, Jr.  - Coldwell Banker Preferred","325 Chestnut St, Ste 1300",Philadelphia,PA,19106,39.9490268625,-75.1471895999,5.0,17,1,"Real Estate, Home Services, Real Estate Agents"
-aeZuatjCDMV1X4gCTz9Ug,David Thomas Trailways,14005 McNulty Rd,Philadelphia,PA,19154,40.1064092,-74.9739371,4.5,6,1,"Buses, Transportation, Bus Tours, Hotels & Travel, Travel Agents, Travel Services, Airport Shuttles, Tours, Public Transportation"
h-y5azB-VlQAT3m7Ff2g2Q,P's & Q's - Premium Quality,820 S St,Philadelphia,PA,19147,39.942515,-75.156468,5.0,16,1,"Fashion, Shopping, Men's Clothing"
WYYdQDjx-DsCanlP0DpImQ,J Sushi,243 S 10th St,Philadelphia,PA,19107,39.9470334,-75.1574339,4.5,72,0,"Seafood, Restaurants, Sushi Bars, Japanese"
07JLsUInZr5OSiYH2XVi4g,Elegance African Hair Braiding,540 N 52nd St,Philadelphia,PA,19131,39.9690954,-75.2255953,2.0,8,1,"Beauty & Spas, Hair Stylists, Hair Extensions, Hair Salons"
FTFtoylMzkrzqNVSl-bkKw,Giant Food Stores,60 N 23rd St,Philadelphia,PA,19103,39.9565280024,-75.178013742,4.0,19,1,"Grocery, Food"
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,700 E. Hunting Park,Philadelphia,PA,19124,40.012141,-75.1150148,1.5,15,1,"Burgers, Restaurants, Fast Food"
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,1523 E Susquehanna Ave,Philadelphia,PA,19125,39.9764555,-75.1270254,4.0,105,1,"Food, Coffee & Tea"
ONUZertKOOImiyQG66Z7Tg,Zakian Rug Cleaning,4930 Parkside Ave,Philadelphia,PA,19131,39.9791075,-75.2177555,3.5,26,1,"Carpet Cleaning, Rugs, Shopping, Flooring, Local Services, Home Cleaning, Carpeting, Home & Garden, Home Services"
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,Philadelphia,PA,19147,39.9385518,-75.1496356,4.5,183,1,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea"
D9Xez9uOSM4DgSjSTywq7w,King of Jewelers,737 Samson St,Philadelphia,PA,19106,39.9489024,-75.153854,4.0,5,1,"Shopping, Jewelry"
MyE_zdul_JO-dOHOug4GQQ,Watson Adventures Scavenger Hunts,,Philadelphia,PA,19019,40.1197128,-75.0097103,3.0,8,1,"Local Flavor, Team Building Activities, Active Life, Arts & Entertainment, Event Planning & Services, Walking Tours, Scavenger Hunts, Museums, Hotels & Travel, Tours"
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,Philadelphia,PA,19104,39.9516153765,-75.2033457223,4.0,46,0,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars"
jL_NufxqXi-BpW5uXKsPwQ,CVS Pharmacy,518 Port Royal Ave,Philadelphia,PA,19128,40.0612774187,-75.2372046062,3.0,11,1,"Drugstores, Pharmacy, Health & Medical, Convenience Stores, Food, Shopping"
Tm3QiAVLJAR2fEJK7APPPQ,City Fitness - Northern Liberties,200 Spring Garden St,Philadelphia,PA,19123,39.9603427,-75.141951,3.0,131,1,"Active Life, Fitness & Instruction, Trainers, Gyms"
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,2609 Edgemont St,Philadelphia,PA,19125,39.9768798,-75.1161695,4.5,12,1,"Food, Bakeries, Restaurants"
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,219 S 52nd St,Philadelphia,PA,19139,39.9563959,-75.2253784,4.5,66,1,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes"
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,300 South St,Philadelphia,PA,19147,39.9412993,-75.1477446,3.0,178,0,"Tex-Mex, Restaurants, American (Traditional), Nightlife, Bars"
6bFx8j2KqPfmT0XEUS1RMg,Center City Emergency Dentist,"1429 Walnut St, Fl 6",Philadelphia,PA,19102,39.9497345,-75.165436,3.5,120,1,"Orthodontists, Health & Medical, Oral Surgeons, General Dentistry, Dentists, Cosmetic Dentists"
G2Byuh4EVeSnqqWBWtD7rg,Wissahickon Cyclery,7837 Germantown Ave,Philadelphia,PA,19118,40.0695589,-75.1995308,4.5,18,1,"Bike Rentals, Active Life, Bikes, Shopping, Sporting Goods"
usv5G5cO314pPHRTGq2Eyw,Best Tours,,Philadelphia,PA,19019,40.1197128,-75.0097103,1.0,38,1,"Tours, Walking Tours, Hotels & Travel, Food Tours"
6I_DA3uqOox50rBvjrQ_-g,Aloft Philadelphia Airport,4301 Island Ave,Philadelphia,PA,19153,39.8911246892,-75.2342512699,3.0,175,1,"Event Planning & Services, Hotels & Travel, Hotels, Venues & Event Spaces"
e8pMCk4bE0U4qk7z59Lxkg,Federal Donuts,2101 Pennsylvania Ave,Philadelphia,PA,19130,39.963042,-75.1741858944,4.5,11,1,"Sandwiches, Chicken Wings, Restaurants, Donuts, Food"
IAj1Lw3FAOY-yZn4IO7ElQ,Baum's Dancewear,1805 E Passyunk Ave,Philadelphia,PA,19148,39.92745,-75.1660349,3.0,17,1,"Arts & Crafts, Sports Wear, Costumes, Performing Arts, Adult, Shopping, Sporting Goods, Arts & Entertainment, Fashion"
aNLr1j_3CZ46rqiUeLaQ-A,Chinatown Market Shoe Repair And Tailor,143 N 11th St,Philadelphia,PA,19107,39.955126798,-75.1574422458,5.0,23,0,"Shoe Repair, Sewing & Alterations, Local Services"
