business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,review_count_actual,sentiment_compound_mean,sentiment_compound_std,pct_negative_reviews,pct_positive_reviews,text_word_count_mean,text_exclamation_count_mean,text_question_count_mean,text_caps_word_ratio_mean,category_count,risk_proxy_closed
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,Philadelphia,PA,19107.0,39.9555052,-75.1555641,4.0,80,1,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",87,0.6957229885057472,0.5305280799839251,0.11494252873563218,0.8735632183908046,104.62068965517241,1.5402298850574712,0.16091954022988506,0.002963718341271775,5,0
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,19106.0,39.953949,-75.1432262,4.0,245,1,"Sushi Bars, Restaurants, Japanese",250,0.80301,0.45399557790691775,0.076,0.92,118.448,1.56,0.104,0.003943293816132612,3,0
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,Philadelphia,PA,19147.0,39.943223,-75.162568,4.5,205,1,"Korean, Restaurants",208,0.8556538461538461,0.29244581327990044,0.028846153846153848,0.9615384615384616,79.45192307692308,1.0865384615384615,0.13942307692307693,0.00423144373048931,2,0
QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,Philadelphia,PA,19147.0,39.9398245705,-75.1574465632,4.0,65,0,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",69,0.8464579710144927,0.2444443256748788,0.014492753623188406,0.9855072463768116,93.68115942028986,1.3478260869565217,0.18840579710144928,0.0058061698600897025,5,1
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,4105 Main St,Philadelphia,PA,19127.0,40.0224662,-75.218314,3.0,41,0,"Pizza, Restaurants, Salad, Soup",41,0.3044243902439024,0.7127326152844726,0.3170731707317073,0.6829268292682927,88.09756097560975,0.8292682926829268,0.21951219512195122,0.003735119072659741,4,1
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,901 N Delaware Ave,Philadelphia,PA,19123.0,39.9625821,-75.1356571,3.5,65,1,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",66,0.6263272727272727,0.6160076451936801,0.15151515151515152,0.8484848484848485,149.9090909090909,1.4696969696969697,0.21212121212121213,0.005217912757636988,8,0
-4dYswJy7SPcbcERvitmIg,Pathmark,3021 Grays Ferry Ave,Philadelphia,PA,19146.0,39.9404026,-75.1932966,2.5,34,0,"Food, Grocery",36,0.17376944444444445,0.7582280820889279,0.3611111111111111,0.6111111111111112,111.19444444444444,0.6388888888888888,0.5555555555555556,0.007788701070990219,2,1
ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,Philadelphia,PA,19104.0,39.954573,-75.1948936,3.0,56,1,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",57,0.48300350877192977,0.6346701592629805,0.21052631578947367,0.7719298245614035,95.12280701754386,0.5789473684210527,0.3157894736842105,0.007196860290201097,8,0
eMjnw_7wp-CscyNh6Lu0ZA,AM&PM Locksmith,8540 Bustleton Ave,Philadelphia,PA,19152.0,40.0723302045,-75.0484833435,4.5,58,1,"Keys & Locksmiths, Home Services, Local Services",58,0.5673120689655172,0.5482222443042878,0.13793103448275862,0.8448275862068966,104.43103448275862,1.1206896551724137,0.10344827586206896,0.008494604004457652,3,0
xfmkEGiIERBaBMLhw-dTCg,Walmart Vision & Glasses,1675 S Christopher Columbus Blvd,Philadelphia,PA,19148.0,39.9198090864,-75.157802746,4.5,6,1,"Eyewear & Opticians, Shopping",7,0.9463142857142858,0.05193057636792375,0.0,1.0,141.85714285714286,1.2857142857142858,0.0,0.005985332944601643,2,0
iPSPcprSnkLOuL1Ns8UZZA,Pete's Barber Shop,1209 N 29th St,Philadelphia,PA,19121.0,39.9748805,-75.1832618,4.5,12,1,"Barbers, Beauty & Spas",12,0.7866749999999999,0.1977143583556844,0.0,1.0,64.16666666666667,0.5833333333333334,0.0,0.0012437810945273584,2,0
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,Philadelphia,PA,19130.0,39.963077709,-75.1680274529,3.0,137,1,"Restaurants, Chinese",147,0.3811809523809524,0.6758415866034349,0.2789115646258503,0.7210884353741497,81.91156462585035,0.7414965986394558,0.19727891156462585,0.0046446168055775975,2,0
