business_id,growth_proxy_active_months,growth_proxy_review_volume_trend
--OS_I7dnABrXvRCCuWOGQ,5,
--sXnWH9Xm6_NvIjyuA99w,22,0.0020180598544398366
-0M0b-XhtFagyLmsBtOe8w,13,-0.007928913192071086
-0PN_KFPtbnLQZEeb23XiA,11,-0.0013145082765335925
-0TffRSXXIlBYVbb5AwfTg,104,-0.04436146377893951
-0eUa8TsXFFy0FCxHYmrjg,22,0.01204950065132436
-0fvhILrC9UsQ6gLNpZlTQ,10,0.009090909090909101
-0x-MbRbsi9YoPxB873qcw,5,
-1B9pP_CrRBJYPICE5WbRA,111,-0.11614455929929772
-1DxQ1CxSc_JCxzKm9bglg,10,1.6462937811252354e-05
-1b2kNOowsPrPpBOK4lNkQ,9,0.1696969696969697
-1yftDfgOUlxe_IACM5PFg,18,-0.010921880784894481
-1yt2mk60wWuQz9hPVKZCA,16,-0.002543407487791644
-2-ih3mE8KPyeKVIzpBfPQ,24,-0.1668520578420467
-2vZHP5Ej9FroxJo8qYJXA,5,
-2xzyHY8uWnLmyQkkfwMuQ,14,0.00018123451553507576
-32hOCwsuKd04WO-HQyYFg,44,-0.007291861494532351
-3ArWZfDjfab8qVHf3WVtg,5,
-3Z9SadSY-w_ckVGQ0dedQ,8,-0.012588943623426383
-3e3CP3FFc-rvJj_-_airw,52,0.0007909108028372353
-3m_nXlyvdKAVNNmVirpGQ,14,-9.373828271466067e-05
-40qQXB8JsneSiDqXMjoeg,11,-0.022727272727272714
-49SvmoGFrpZj5jmT1n4Sg,4,
-4HMjEGQgduIMMTe0WPQBA,99,-0.008204698527279172
-4N4YEobjG89VQsEgqZshg,7,-0.38333333333333336
-4dYswJy7SPcbcERvitmIg,30,0.0018560822387207313
-4zwfrKm21Rf89pTJRhG9w,6,-0.003619909502262443
-54X2p-t4_toIoem4k_SvA,10,0.0015012510425354455
-5LzSdkohuiRPOLi0GGCJQ,7,0.0003376422921088172
-5Rah4ZvWsDu4oilUZxhtw,143,-0.003748733535967578
-5ink0kIoVfuS5Zi_6QBnQ,55,-0.0007943323314727348
-5jh7Rgm_jP2SclLrZG80A,12,0.00035538788537373817
-5uzjjKUA-kt81j605d5Jg,72,0.004811050876388866
-63ytt5vkWof-M9NDGTkng,15,-0.0030474840538625082
-6AjXJIUlbGSUohUzg9-iA,13,-0.0021205173163092515
-6MEKOmFu6jckT3pruSxHg,22,-0.0028072502210433246
-6nQZ-QCkAyNHdtaxOxDpQ,39,-0.036878751500600236
-7KyK-QIAjFicDhpifwbPw,16,0.0004773507035950475
-8-8mbxQEpZx8Zs_nrzljA,14,0.010847975553857907
-8iiwnBs4yu4s1yLkWzU9Q,19,0.0019667832167832165
-9CvbWc-vPYsoioAgZii4Q,11,-0.02818532818532819
-ATiAtTikuGuqvaW2O6tNA,150,0.014688448537211097
-AanHawaDlzWHQjrqRRWig,36,-0.0007103811371136358
-AbzJTLQdbdQrhRzQLgsKA,8,0.1010989010989011
-Ah-gbZpa-IiQVIrhKRhhA,42,-0.028775510204081634
-BLVl824WRLFIm_uiHmkbA,57,-0.001838610827374872
-Be75AsLHhBrrDYZwfwSCA,5,
-BhSR6dAry5-2x3ndjX_9w,41,-0.03577989677193596
-Bhoyo7LL97tgt9Hze0Saw,14,0.0008574123295892998
-BjXcRcvDqOQ23eUKx6hjg,80,-0.03418589565378557
-Bl2AA2Ujp1EBp0hEw6sIA,26,3.265009976419378e-05
-CIZAVxbJ9RDWl9Xx9kzOg,15,-0.005987762237762237
-CRjqZ4GxZ6lIa_qMj7-yw,51,0.002720607239535864
-Cf4TdTeHqdk3ZmK9_4p3w,16,0.0002452945893674228
-CoVlGcw8nOmkp_ASc_DIQ,28,-0.01777844929616479
-DGsnMlRrR_tv8avrpQLQw,178,0.005190470772448244
-D_3emciINpjvYXsHCf8OA,28,0.0005600248899951111
-E5FEJIZdmwV7A1XGdhUeA,17,0.00014580447619741936
-F04D8Q5oACUCW_zEMkS1A,8,-0.0005245095835393907
-FMI0_EhMjwXaAgHVGuG2Q,29,-0.1092375366568915
-FSNRWP_3twzsH-qliHcZQ,9,-0.0035287579883300914
-FrAoc8_01YaTiwc1zByOA,3,
-HFXvEB8mBf7jZRd2on-zA,5,
-HewctWQ0P3HqKCr76bU-g,67,-0.0010667140761811637
-HxLFWKVgXSU8JlR21PBkg,9,-0.048484848484848485
-IRJAg0tkspFukxKY87TBA,12,-0.019230769230769225
-IZpkWsJKfq35eJLzaUcvA,47,-0.0017070308332444262
-Is2hkDjuguxmahjh8Spjw,38,0.0020015735641227394
-IxZMOReWDCJDD-A2N92_Q,42,0.0025525435872940042
-K80PQ45I5AeYWSCcEcy6g,13,0.0001995370739883473
-KWel73upKHxstRCr9JGLw,70,-0.001566075735507682
-KncfNxXHo2DA46fR39K5w,10,0.00038197097020626426
-KoF5X8toS6VBY3DvNeuDA,15,0.0024427160604834496
-L70iK2xSuBo1zsS9NP_Wg,7,-0.0001469291801351752
-LmhsdQproqCf5EQoD06rQ,5,
-LmyoKvQ3WPptdXTtVtwmw,5,
-LoYGjfeHbGklgmiJU9EMQ,16,-0.03227016885553471
-LpG-lx52Mjp7jyJ8YZHZQ,8,-0.0005667383232362718
-M4bstf1eZI1cltbABQO5g,5,
-MkngKKkTIVfnUbq2S1ucQ,12,-0.534965034965035
-N1WjsJUama2LpA668ctbA,16,-0.0009287011956372033
-NBNpfXO_WlUJFprqDtcSg,90,-0.009557301133220588
-NFHQ0ePNYu6SrwekdhcBw,9,-0.011538461538461537
-NG3pA9LEXCxt0Fjd_aYYA,31,-0.0025073028237585205
