business_id,name,segment,segment_name
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,1,Steady Mainstream Favorites
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,1,Steady Mainstream Favorites
ROeacJQwBeh05Rqg7F6TCg,BAP,1,Steady Mainstream Favorites
QdN72BWoyFypdGJhhI5r7g,Bar One,2,High-Traffic Bars & Nightlife
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,0,Struggling / Mixed-Experience Businesses
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,1,Steady Mainstream Favorites
-4dYswJy7SPcbcERvitmIg,Pathmark,0,Struggling / Mixed-Experience Businesses
ppFCk9aQkM338Rgwpl2F5A,Wawa,1,Steady Mainstream Favorites
eMjnw_7wp-CscyNh6Lu0ZA,AM&PM Locksmith,1,Steady Mainstream Favorites
xfmkEGiIERBaBMLhw-dTCg,Walmart Vision & Glasses,1,Steady Mainstream Favorites
iPSPcprSnkLOuL1Ns8UZZA,Pete's Barber Shop,1,Steady Mainstream Favorites
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,0,Struggling / Mixed-Experience Businesses
GWGXTKR0Fhdvzf_isDqJug,"David Gower, Jr.  - Coldwell Banker Preferred",1,Steady Mainstream Favorites
-aeZuatjCDMV1X4gCTz9Ug,David Thomas Trailways,1,Steady Mainstream Favorites
h-y5azB-VlQAT3m7Ff2g2Q,P's & Q's - Premium Quality,1,Steady Mainstream Favorites
WYYdQDjx-DsCanlP0DpImQ,J Sushi,1,Steady Mainstream Favorites
07JLsUInZr5OSiYH2XVi4g,Elegance African Hair Braiding,0,Struggling / Mixed-Experience Businesses
FTFtoylMzkrzqNVSl-bkKw,Giant Food Stores,1,Steady Mainstream Favorites
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,0,Struggling / Mixed-Experience Businesses
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,1,Steady Mainstream Favorites
ONUZertKOOImiyQG66Z7Tg,Zakian Rug Cleaning,0,Struggling / Mixed-Experience Businesses
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,1,Steady Mainstream Favorites
D9Xez9uOSM4DgSjSTywq7w,King of Jewelers,1,Steady Mainstream Favorites
MyE_zdul_JO-dOHOug4GQQ,Watson Adventures Scavenger Hunts,1,Steady Mainstream Favorites
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,2,High-Traffic Bars & Nightlife
jL_NufxqXi-BpW5uXKsPwQ,CVS Pharmacy,0,Struggling / Mixed-Experience Businesses
Tm3QiAVLJAR2fEJK7APPPQ,City Fitness - Northern Liberties,1,Steady Mainstream Favorites
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,1,Steady Mainstream Favorites
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,1,Steady Mainstream Favorites
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,2,High-Traffic Bars & Nightlife
6bFx8j2KqPfmT0XEUS1RMg,Center City Emergency Dentist,0,Struggling / Mixed-Experience Businesses
G2Byuh4EVeSnqqWBWtD7rg,Wissahickon Cyclery,1,Steady Mainstream Favorites
usv5G5cO314pPHRTGq2Eyw,Best Tours,0,Struggling / Mixed-Experience Businesses
6I_DA3uqOox50rBvjrQ_-g,Aloft Philadelphia Airport,0,Struggling / Mixed-Experience Businesses
e8pMCk4bE0U4qk7z59Lxkg,Federal Donuts,1,Steady Mainstream Favorites
IAj1Lw3FAOY-yZn4IO7ElQ,Baum's Dancewear,1,Steady Mainstream Favorites
aNLr1j_3CZ46rqiUeLaQ-A,Chinatown Market Shoe Repair And Tailor,1,Steady Mainstream Favorites
yZP6Z8sbDpkeXyjNMDiyDg,Guess - Walnut Street,0,Struggling / Mixed-Experience Businesses
kR4tXc1fLeR2QNu8cMZrEg,Bustleton Radiology Associates,0,Struggling / Mixed-Experience Businesses
V-96iACFgPmVjjKACGxd7Q,Fusion Pizza & Grill,0,Struggling / Mixed-Experience Businesses
0CEUpFtaKhxbmrbSdP9MUQ,Acadia,2,High-Traffic Bars & Nightlife
I0gSLthWBsiUPzBft_CZ9Q,Marino's Auto Repair,1,Steady Mainstream Favorites
yooufdsf3eAVq_9RQNSDJA,Mazzoni Center,0,Struggling / Mixed-Experience Businesses
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,0,Struggling / Mixed-Experience Businesses
dChRGpit9fM_kZK5pafNyA,The Love,1,Steady Mainstream Favorites
cDekcTE1qwpz8ROlYixhqg,Philly Homebrew Outlet East,1,Steady Mainstream Favorites
gVh26yEPkXSoWbhs1p2kNA,Gotham Escape Room,1,Steady Mainstream Favorites
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,1,Steady Mainstream Favorites
eJ77e9lGxY3ArzaoDbHhYw,Paddy Whacks Irish Sports Pub - South Street,2,High-Traffic Bars & Nightlife
